date,price,return,energy,state,regime,raw_signal,action,invested,position,cash,total_value,stop_triggered,strategy_return
2008-04-18,99.94507598876952,0.0104344705913841,1.7072820038641052e-05,1,1,SELL,HOLD,False,0,109292.06157684323,109292.06157684323,False,0.0
2008-04-21,99.9955825805664,0.0005053434728745,1.0017118792757126e-05,0,0,BUY,BUY,True,1092,96.88539886471699,109292.06157684323,False,0.0
2008-04-22,99.55531311035156,-0.0044028891962314,8.190031280134476e-06,0,0,BUY,HOLD,True,1092,96.88539886471699,108811.28731536862,False,-0.004398986116082915
2008-04-23,99.39659881591795,-0.0015942322863036,7.672332485843992e-06,0,0,BUY,HOLD,True,1092,96.88539886471699,108637.97130584712,False,-0.0015928127843867212
2008-04-24,99.82958221435548,0.004356118857139,7.787018570824955e-06,0,0,BUY,HOLD,True,1092,96.88539886471699,109110.7891769409,False,0.004352233987899634
2008-04-25,100.75340270996094,0.0092539753759746,9.180171780098521e-06,0,0,BUY,HOLD,True,1092,96.88539886471699,110119.60115814206,False,0.009245758268370707
2008-04-28,100.7750473022461,0.0002148274073427,8.28936324372555e-06,0,0,BUY,HOLD,True,1092,96.88539886471699,110143.23705291745,False,0.00021463839794932937
2008-04-29,100.37808990478516,-0.003939044516351,8.140159267464046e-06,0,0,BUY,HOLD,True,1092,96.88539886471699,109709.75957489011,False,-0.003935579610930495
2008-04-30,99.78626251220705,-0.0058959818137555,1.067081989589451e-05,0,0,BUY,HOLD,True,1092,96.88539886471699,109063.48406219481,False,-0.005890775034049112
2008-05-01,101.85039520263672,0.0206855396570964,2.7705659265643596e-05,1,1,SELL,SELL,False,0,111317.51696014401,111317.51696014401,False,0.02066716387552603
2008-05-02,102.1319351196289,0.0027642496274271,2.1864184436855856e-05,1,1,SELL,HOLD,False,0,111317.51696014401,111317.51696014401,False,0.0
2008-05-05,101.6410903930664,-0.0048059867463351,2.4239337962440625e-05,1,1,SELL,HOLD,False,0,111317.51696014401,111317.51696014401,False,0.0
2008-05-06,102.52167510986328,0.0086636685359382,7.357344811311684e-06,0,0,BUY,BUY,True,1085,81.49946594235371,111317.51696014401,False,0.0
2008-05-07,100.69566345214844,-0.0178109814900904,6.7559139727756444e-06,0,0,BUY,HOLD,True,1085,81.49946594235371,109336.29431152341,False,-0.01779794144465119
2008-05-08,100.43582153320312,-0.0025804678179491,8.98757083540107e-06,0,1,SELL,SELL,False,0,109054.36582946774,109054.36582946774,True,-0.002578544332702437
2008-05-09,100.24817657470705,-0.0018683071003113,7.193102114655486e-06,0,0,BUY,BUY,True,1087,84.59789276118681,109054.36582946774,False,0.0
2008-05-12,101.37411499023438,0.0112315101780258,2.6640298776078272e-05,1,1,SELL,SELL,False,0,110278.26088714595,110278.26088714595,False,0.01122279744024235
2008-05-13,101.3885269165039,0.0001421657419244,1.9928668180256208e-05,1,1,SELL,HOLD,False,0,110278.26088714595,110278.26088714595,False,0.0
2008-05-14,101.5978012084961,0.0020640825777509,4.270067759910673e-06,0,0,BUY,BUY,True,1085,44.64657592769072,110278.26088714595,False,0.0
2008-05-15,102.8680648803711,0.0125028657782484,9.7223096657442e-07,0,0,BUY,HOLD,True,1085,44.64657592769072,111656.49697113033,False,0.012497803945192842
2008-05-16,102.9619140625,0.0009123257275038,2.1164270308345703e-06,0,0,BUY,HOLD,True,1085,44.64657592769072,111758.32333374019,False,0.0009119609281329488
2008-05-19,103.24342346191406,0.002734111947872,3.974556521888113e-06,0,0,BUY,HOLD,True,1085,44.64657592769072,112063.76103210445,False,0.002733019691536942
2008-05-20,102.40617370605467,-0.0081094730084017,1.0472715286180076e-05,0,0,BUY,HOLD,True,1085,44.64657592769072,111155.34504699701,False,-0.008106242167324584
2008-05-21,100.6740493774414,-0.0169142568844057,2.2307512498442347e-05,1,1,SELL,SELL,False,0,109275.99015045162,109275.99015045162,False,-0.01690746311615332
2008-05-22,100.68840789794922,0.0001426238499058,1.8670909837786487e-05,1,1,SELL,HOLD,False,0,109275.99015045162,109275.99015045162,False,0.0
